brier_score,mean_prediction,mean_observation,calib_slope,calib_intercept
0.1970607964426579,0.41969795418722233,0.38,0.8920837721818231,-0.23417577867243194
0.15759278779529443,0.4306563233012245,0.38,1.7773787989749539,-0.23111043291947225
0.2039512286237943,0.40402542712560774,0.38,0.7899937844344102,-0.18330712873126406
0.18763635773752668,0.35904998064246263,0.38,0.8522438849126591,0.048681742964316495
0.22334689691390827,0.41644664160739864,0.38,0.5624596335120746,-0.28739512506819404
0.19347341625747183,0.4142965682643529,0.38,0.8547589783133701,-0.21935481405935928
0.16587338379003363,0.433024523276253,0.38,1.2980235379166283,-0.27951726370403623
0.2252701300504099,0.4429404426571893,0.38,0.5965252214643039,-0.36592969935920017
0.17357258107718782,0.3747680250398268,0.38,1.305085702965568,0.14216503119723878
0.175080342167153,0.3642436928375124,0.38,1.304675714211389,0.23605427918921237
0.1819690366101525,0.45008802932079356,0.38,1.099656684215642,-0.3688800398449895
0.17800847505080253,0.36113873611583464,0.38,1.0482821605868906,0.1296591118360226
0.20266495350956973,0.3970544446041723,0.38,0.7329786981087805,-0.1807008160082032
0.1790680182948944,0.39353908668656296,0.38,1.1508860628885942,-0.021825074956381973
0.17763418386762614,0.34771373704117914,0.38,1.0565833861337406,0.21146697508439097
0.16631183419630044,0.4224499318621396,0.38,1.3911890402070919,-0.1791826156674515
0.19070524218792284,0.41483330780685285,0.38,0.9173308177654893,-0.20218163126959438
0.20420365722156603,0.3719996607902792,0.38,0.7104517242999939,-0.09104312967438233
0.12406610342812746,0.364882921299814,0.38,3.573589213668332,1.4864052692914154
0.15890899886735135,0.39381922995190044,0.38,1.387019526739276,0.04427717758803373
0.19078139823171775,0.3775527790401528,0.38,0.894377526999524,-0.03353283333668463
0.16551401060792942,0.3660284288832272,0.38,1.476119914218994,0.3091887102279931
0.16244752131942852,0.3655740791108604,0.38,1.3039093503152897,0.2377984014477459
0.15989035721156655,0.36922445435866946,0.38,1.1271544570603496,0.12547724665387996
0.15424092791136626,0.4126931326588532,0.38,2.0042800564136853,0.032502561864886315
0.16783023753132995,0.4329780588525719,0.38,1.3347481922999138,-0.27709171127332477
0.13946626631698858,0.3855407415440967,0.38,1.7720839690399766,0.22342775068396675
0.15835856734388393,0.35886577517287394,0.38,1.3977949292188,0.3401343406020361
0.1530432519956792,0.4111233538744703,0.38,1.3587896383597993,-0.10315792064725564
0.17785332091398437,0.3811895327016269,0.38,1.1260025676504708,0.04252746960241584
