brier_score,mean_prediction,mean_observation,calib_slope,calib_intercept
0.1446432371567327,0.4638195312719563,0.46,1.6603720817514032,0.019499212903909685
0.18179660461628155,0.4267661878573535,0.46,0.9254293754003862,0.16498700504746944
0.22685464769428404,0.5327431345693351,0.46,0.6869331238581488,-0.2928587484456722
0.18677131118238272,0.4517958475613392,0.46,1.2028872345009924,0.075256646339229
0.15286798768042864,0.4577279236874199,0.46,1.3531669243105133,0.0008965118857183858
0.157274626229987,0.42043200958405696,0.46,1.5385444970813198,0.4050933956071378
0.14453420017196777,0.4542782629456477,0.46,1.6475403109835671,0.1439999138699754
0.18211600818301146,0.44060582227151435,0.46,1.038624220819183,0.11446244617741302
0.1674103359109669,0.4888149455743624,0.46,1.303621280088251,-0.18151525786242073
0.23133442434286344,0.5046281422343353,0.46,0.5130830283514862,-0.19802466568478003
0.1427392832917617,0.4261898401691603,0.46,1.9011721383999574,0.5332179058892117
0.15657352742328937,0.4469903027776494,0.46,1.3167937281885609,0.11083854177078266
0.1639970270122217,0.4610563853250156,0.46,1.3158879192178452,0.01913817126779707
0.19971613391823279,0.42295708963416756,0.46,0.724511667612666,0.12312224395339202
0.18394157987318419,0.5027868006829513,0.46,1.29814285339801,-0.23782767038605268
0.20173933134307806,0.4088125146848951,0.46,0.9683981452549939,0.25629403817274027
0.1427099127523332,0.47218792053951886,0.46,2.682122097625757,0.01267754511788536
0.1902242797172259,0.46646214751388404,0.46,1.051461705839575,-0.027653932421260522
0.17089802304108087,0.4558218555216043,0.46,1.0916877552255582,0.03974822492609952
0.18763124660285982,0.45158846624516963,0.46,1.1739596770082792,0.07473467301304948
0.19823149323693595,0.4357610213958229,0.46,1.0232096369593089,0.12925792951460133
0.18868707020631606,0.4610758525198058,0.46,1.060635310120762,-0.00016212192554881802
0.1589838759763395,0.4852061144577253,0.46,1.2735457517272033,-0.18810658421841692
0.19403016195254721,0.4532387583989755,0.46,1.0848636652769141,0.04929212327192938
0.20450772965433728,0.4707958941553707,0.46,0.7799645436109072,-0.0754910338387867
0.1963227154760769,0.4732738043875446,0.46,0.8343671642233174,-0.08096251085164002
0.17644481139450452,0.4524842263050269,0.46,1.2390296886286483,0.08480768225441049
0.17027570722007418,0.45982452361809406,0.46,1.1004350965245842,0.018326177067926823
0.1827067341683831,0.45780929285067984,0.46,1.128081351002563,0.02753029762340612
0.13765097669523896,0.4617840819674048,0.46,2.2078816463309616,0.15779700414758366
