brier_score,mean_prediction,mean_observation,calib_slope,calib_intercept
0.19067904704718192,0.39721105871472445,0.38,1.0883874224423422,-0.05407806567658792
0.18091792093597522,0.42419799972408867,0.38,2.1340257826643967,-0.009849027081417768
0.21100176732754647,0.35834635664133757,0.38,0.8746183845027339,0.040522543505811526
0.18902687413218341,0.38921928183899135,0.38,0.8613782688612729,-0.10650672983944977
0.21750344310175987,0.3973092086451145,0.38,0.6248169318676433,-0.21811325722966585
0.1797143821340937,0.4162877422185786,0.38,1.1829152855285936,-0.14561139336348136
0.17383540976552897,0.4109983187523394,0.38,1.758768773125444,0.09226797953538693
0.2401356108412664,0.459082014335795,0.38,0.5142468224950478,-0.4169169628612083
0.1933656677709953,0.36767673033661985,0.38,1.1534581793272956,0.13243527846268485
0.19144783894369394,0.3678993670214711,0.38,1.2426329796601479,0.1760865986111553
0.19456292088997137,0.44195254560211855,0.38,1.055790658546254,-0.3065232153011086
0.17987256141712749,0.3548008481059467,0.38,1.2031596568394023,0.25904718246262787
0.20970766314688594,0.3879700152543948,0.38,0.7595922617223781,-0.147776879249583
0.18925760743703665,0.4069232451592301,0.38,1.2564733984081928,-0.05700205192251432
0.1875048065928342,0.34878864160815576,0.38,1.136166687932551,0.25687700830915955
0.19742712117148137,0.4133460508191822,0.38,0.8409441132402505,-0.22502108362062045
0.17798333646024422,0.4050951619581521,0.38,1.2757729569471437,-0.04510189879695763
0.2095546812879216,0.3594159908372187,0.38,0.7810513292070798,-0.015057212838003925
0.1523520526320408,0.3762940098493122,0.38,3.028903781969852,1.2486083566964001
0.16532325063545628,0.3872441920526451,0.38,1.8474380673018806,0.33868650479284906
0.19604248999192359,0.40560056885311613,0.38,0.9072713106439663,-0.16070401428022102
0.17517680958521814,0.38103520943424585,0.38,1.5961069748780057,0.27701243061621184
0.18567470322017848,0.37625180709071016,0.38,1.405217219168125,0.20760818242288978
0.18121852091620727,0.3734507989517442,0.38,1.1550030888215994,0.10343675333660168
0.16867861370779236,0.4022498530537486,0.38,2.6873027708932926,0.4734135924186164
0.18973500035455879,0.4165054485176676,0.38,1.4612098378520324,-0.06651991712800479
0.1596603312569961,0.3781122327547518,0.38,2.19214325583781,0.629263724343525
0.18397991825667284,0.3895056137979526,0.38,1.1737538832850343,0.015132342801295521
0.16370606516395583,0.4050565165831469,0.38,1.6179735784106963,0.0326679309388319
0.18969698619208256,0.37392060929266746,0.38,1.3461489016517485,0.20931802219392237
